ws_diff,ws_diff_bin,steps_diff
-75.0,"(-80, -48]",-3048.838167984002
-74.0,"(-80, -48]",-1097.0248065562537
-69.0,"(-80, -48]",-987.590909090909
-66.0,"(-80, -48]",505.463768115942
-61.0,"(-80, -48]",5361.8
-60.0,"(-80, -48]",4619.444444444444
-58.0,"(-80, -48]",548.6858974358976
-57.0,"(-80, -48]",-10952.605263157895
-57.0,"(-80, -48]",-970.5555555555555
-57.0,"(-80, -48]",-174.78119757561763
-57.0,"(-80, -48]",880.625
-56.0,"(-80, -48]",-5520.264347826086
-54.0,"(-80, -48]",-1558.7675577793002
-54.0,"(-80, -48]",-159.82244835870893
-54.0,"(-80, -48]",4699.777777777777
-53.0,"(-80, -48]",-909.2892307692308
-52.0,"(-80, -48]",5993.76
-52.0,"(-80, -48]",2965.758333333333
-52.0,"(-80, -48]",-573.0
-52.0,"(-80, -48]",-1013.0
-51.0,"(-80, -48]",-22.149999999999643
-50.0,"(-80, -48]",354.54515050167174
-50.0,"(-80, -48]",2908.5
-49.0,"(-80, -48]",-4217.317506256585
-48.0,"(-80, -48]",-247.4285714285716
-48.0,"(-80, -48]",-5833.179842987121
-47.0,"(-48, -16]",348.77228545699967
-47.0,"(-48, -16]",159.2578689120387
-46.0,"(-48, -16]",-4840.357142857143
-46.0,"(-48, -16]",-3337.560606060607
-46.0,"(-48, -16]",-2082.636363636364
-46.0,"(-48, -16]",-4647.423245614035
-46.0,"(-48, -16]",449.40000000000015
-46.0,"(-48, -16]",2780.81221719457
-45.0,"(-48, -16]",-2702.412173913044
-45.0,"(-48, -16]",824.0826121315476
-45.0,"(-48, -16]",3219.5
-45.0,"(-48, -16]",1117.8421052631577
-44.0,"(-48, -16]",-2643.206973560589
-44.0,"(-48, -16]",420.5
-44.0,"(-48, -16]",617.5
-43.0,"(-48, -16]",744.9107142857147
-43.0,"(-48, -16]",-3830.308537945713
-43.0,"(-48, -16]",-1542.3571428571433
-43.0,"(-48, -16]",984.3273809523816
-43.0,"(-48, -16]",-1785.2694194907392
-43.0,"(-48, -16]",878.0927415185861
-43.0,"(-48, -16]",-805.7238095238098
-42.0,"(-48, -16]",3898.313725490196
-42.0,"(-48, -16]",4892.076923076924
-42.0,"(-48, -16]",-3546.8418574060747
-42.0,"(-48, -16]",-3603.5
-42.0,"(-48, -16]",-4437.953716771937
-42.0,"(-48, -16]",-2285.5333333333333
-42.0,"(-48, -16]",416.4953846153849
-41.0,"(-48, -16]",-2097.817318427884
-41.0,"(-48, -16]",-1089.2415384615397
-41.0,"(-48, -16]",-1378.79
-41.0,"(-48, -16]",930.5369230769228
-41.0,"(-48, -16]",-1514.811594202898
-40.0,"(-48, -16]",-1228.0
-40.0,"(-48, -16]",2148.2914487151584
-40.0,"(-48, -16]",-500.6020491571094
-39.0,"(-48, -16]",-678.8407717857554
-39.0,"(-48, -16]",-1576.50700280112
-39.0,"(-48, -16]",-2129.7993311036803
-39.0,"(-48, -16]",423.6570512820512
-39.0,"(-48, -16]",2041.2634271099741
-38.0,"(-48, -16]",2181.4710500710003
-38.0,"(-48, -16]",-2618.75
-38.0,"(-48, -16]",34.74434782608705
-38.0,"(-48, -16]",-4519.381050748769
-38.0,"(-48, -16]",792.704710144928
-38.0,"(-48, -16]",1754.75
-38.0,"(-48, -16]",-1981.0
-38.0,"(-48, -16]",579.7272727272725
-37.0,"(-48, -16]",-482.06547619047615
-37.0,"(-48, -16]",22157.66666666667
-37.0,"(-48, -16]",-2327.692307692308
-37.0,"(-48, -16]",1123.0061538461541
-37.0,"(-48, -16]",-997.6257232673497
-36.0,"(-48, -16]",29.324500867989173
-36.0,"(-48, -16]",-1147.0213903743318
-36.0,"(-48, -16]",1595.3529411764707
-36.0,"(-48, -16]",-5052.611940656332
-36.0,"(-48, -16]",1708.315019835762
-36.0,"(-48, -16]",-2375.253205128205
-35.0,"(-48, -16]",366.23999999999984
-35.0,"(-48, -16]",3169.0
-35.0,"(-48, -16]",-4487.75
-35.0,"(-48, -16]",281.37538461538503
-35.0,"(-48, -16]",1957.7
-35.0,"(-48, -16]",371.5
-35.0,"(-48, -16]",-699.9230769230771
-35.0,"(-48, -16]",705.7727272727275
-35.0,"(-48, -16]",384.0
-35.0,"(-48, -16]",402.051428571428
-34.0,"(-48, -16]",-1035.3333333333335
-34.0,"(-48, -16]",642.090909090909
-34.0,"(-48, -16]",-4327.359286436233
-34.0,"(-48, -16]",-1318.7402502650748
-34.0,"(-48, -16]",-2321.21380286784
-34.0,"(-48, -16]",1020.5
-33.0,"(-48, -16]",-9510.012307692308
-33.0,"(-48, -16]",-1357.1315789473686
-33.0,"(-48, -16]",13998.308571428572
-33.0,"(-48, -16]",-3579.482180045277
-33.0,"(-48, -16]",-505.1052631578948
-33.0,"(-48, -16]",-1675.2315789473682
-33.0,"(-48, -16]",-370.23352676900026
-33.0,"(-48, -16]",1282.3653846153848
-33.0,"(-48, -16]",-2965.2292307692296
-33.0,"(-48, -16]",-855.7142857142853
-33.0,"(-48, -16]",55.35426410182481
-33.0,"(-48, -16]",-79.9250000000002
-32.0,"(-48, -16]",7191.727272727273
-32.0,"(-48, -16]",2217.3892307692317
-32.0,"(-48, -16]",-3016.666666666667
-32.0,"(-48, -16]",-564.0
-31.0,"(-48, -16]",1421.875
-31.0,"(-48, -16]",1783.8535664218455
-31.0,"(-48, -16]",-3114.336923076923
-31.0,"(-48, -16]",-515.0555555555558
-31.0,"(-48, -16]",1889.75
-31.0,"(-48, -16]",-6141.075
-31.0,"(-48, -16]",2357.5263157894738
-30.0,"(-48, -16]",876.038461538461
-30.0,"(-48, -16]",-407.8487378200007
-30.0,"(-48, -16]",210.66666666666674
-30.0,"(-48, -16]",721.7982456140352
-30.0,"(-48, -16]",-337.22916666666697
-30.0,"(-48, -16]",-158.87488047424176
-30.0,"(-48, -16]",1667.2661538461546
-30.0,"(-48, -16]",19.38461538461525
-30.0,"(-48, -16]",1087.788461538461
-29.0,"(-48, -16]",-3683.25
-29.0,"(-48, -16]",1223.857142857143
-29.0,"(-48, -16]",-528.6590476190477
-29.0,"(-48, -16]",468.70000000000067
-29.0,"(-48, -16]",63.875
-29.0,"(-48, -16]",2096.6578947368416
-29.0,"(-48, -16]",1136.9707692307693
-29.0,"(-48, -16]",-2478.989400620223
-29.0,"(-48, -16]",-202.53322488759068
-29.0,"(-48, -16]",-2485.6481973679042
-29.0,"(-48, -16]",-1961.787878787878
-29.0,"(-48, -16]",-17893.409987689738
-28.0,"(-48, -16]",50.03884822290911
-28.0,"(-48, -16]",1057.4685714285715
-28.0,"(-48, -16]",-5540.107692307692
-28.0,"(-48, -16]",784.4812030075187
-28.0,"(-48, -16]",3086.0134183474993
-28.0,"(-48, -16]",-202.5
-28.0,"(-48, -16]",-1648.7842105263155
-28.0,"(-48, -16]",-4402.3110656741665
-28.0,"(-48, -16]",423.8076923076923
-27.0,"(-48, -16]",1252.6666666666667
-27.0,"(-48, -16]",2532.536807977069
-27.0,"(-48, -16]",-4216.07
-27.0,"(-48, -16]",1070.166666666667
-27.0,"(-48, -16]",4318.693846153846
-27.0,"(-48, -16]",3995.858181818182
-27.0,"(-48, -16]",1578.863354037267
-26.0,"(-48, -16]",-48.423506311048186
-26.0,"(-48, -16]",-396.3853754940714
-26.0,"(-48, -16]",-3130.1256038647352
-26.0,"(-48, -16]",-348.66666666666697
-26.0,"(-48, -16]",688.730769230769
-26.0,"(-48, -16]",-3578.75
-26.0,"(-48, -16]",1788.111383492036
-26.0,"(-48, -16]",-3361.9772727272716
-26.0,"(-48, -16]",-4942.347222222223
-26.0,"(-48, -16]",-1460.6666666666665
-26.0,"(-48, -16]",-1892.3166666666666
-25.0,"(-48, -16]",5868.08
-25.0,"(-48, -16]",-1238.4615384615379
-25.0,"(-48, -16]",-6038.4850000000015
-25.0,"(-48, -16]",1505.0
-25.0,"(-48, -16]",2070.18733774314
-25.0,"(-48, -16]",-3706.994285714285
-25.0,"(-48, -16]",-1489.5438596491224
-25.0,"(-48, -16]",-6043.363636363636
-25.0,"(-48, -16]",-188.30000000000015
-25.0,"(-48, -16]",-459.4832271819214
-24.0,"(-48, -16]",-169.1262626262624
-24.0,"(-48, -16]",699.2134387351781
-24.0,"(-48, -16]",1189.7000000000007
-24.0,"(-48, -16]",2948.240000000001
-24.0,"(-48, -16]",198.0
-24.0,"(-48, -16]",3679.6349206349214
-23.0,"(-48, -16]",448.46279038332335
-23.0,"(-48, -16]",-6355.5
-23.0,"(-48, -16]",44.53442028985501
-23.0,"(-48, -16]",-3133.833333333334
-23.0,"(-48, -16]",-4786.03090909091
-23.0,"(-48, -16]",-208.57608695652198
-23.0,"(-48, -16]",1222.799532376923
-23.0,"(-48, -16]",511.0461538461541
-23.0,"(-48, -16]",1736.8000000000004
-23.0,"(-48, -16]",2029.3927116139484
-23.0,"(-48, -16]",2460.8939393939395
-23.0,"(-48, -16]",2887.9666666666662
-23.0,"(-48, -16]",664.8363308049767
-23.0,"(-48, -16]",-1220.5422202266673
-23.0,"(-48, -16]",-1564.3543948366332
-22.0,"(-48, -16]",-553.625
-22.0,"(-48, -16]",763.0714274785255
-22.0,"(-48, -16]",8194.857142857143
-22.0,"(-48, -16]",632.1654870702966
-22.0,"(-48, -16]",4092.7157984739697
-22.0,"(-48, -16]",4134.222222222223
-22.0,"(-48, -16]",-1342.6904761904761
-22.0,"(-48, -16]",-282.9151428293889
-22.0,"(-48, -16]",9373.951666666668
-22.0,"(-48, -16]",2914.5
-22.0,"(-48, -16]",1527.08
-22.0,"(-48, -16]",-305.82142857142844
-22.0,"(-48, -16]",-5719.52
-22.0,"(-48, -16]",-1785.0
-22.0,"(-48, -16]",2188.413333333333
-21.0,"(-48, -16]",-1365.097768931922
-21.0,"(-48, -16]",-7196.130434782609
-21.0,"(-48, -16]",-1282.0
-21.0,"(-48, -16]",-497.89381937607686
-21.0,"(-48, -16]",4665.58
-21.0,"(-48, -16]",-2280.670769230769
-21.0,"(-48, -16]",-2502.0
-21.0,"(-48, -16]",-1843.4033333333327
-21.0,"(-48, -16]",-3036.5
-21.0,"(-48, -16]",-438.29523809523835
-21.0,"(-48, -16]",1391.8816896744156
-21.0,"(-48, -16]",-3523.397097490073
-21.0,"(-48, -16]",4623.216117216119
-21.0,"(-48, -16]",-691.292490118577
-21.0,"(-48, -16]",3600.0628223877284
-20.0,"(-48, -16]",-1027.7083333333335
-20.0,"(-48, -16]",2079.791666666666
-20.0,"(-48, -16]",-3289.083333333333
-20.0,"(-48, -16]",706.75
-20.0,"(-48, -16]",-927.25
-20.0,"(-48, -16]",855.625
-20.0,"(-48, -16]",1164.393939393939
-20.0,"(-48, -16]",728.3571428571431
-20.0,"(-48, -16]",1346.336651609975
-20.0,"(-48, -16]",-726.5416666666661
-20.0,"(-48, -16]",8723.01923076923
-19.0,"(-48, -16]",651.1446886446884
-19.0,"(-48, -16]",1298.2276923076927
-19.0,"(-48, -16]",-138.21428571428532
-19.0,"(-48, -16]",-4354.666666666667
-19.0,"(-48, -16]",-1396.770833333333
-19.0,"(-48, -16]",234.96527777777786
-19.0,"(-48, -16]",261.869565217391
-19.0,"(-48, -16]",511.58347526222224
-19.0,"(-48, -16]",1411.125
-19.0,"(-48, -16]",77.07142857142844
-19.0,"(-48, -16]",3855.650000000001
-19.0,"(-48, -16]",-2062.550769230769
-19.0,"(-48, -16]",778.1188811188816
-19.0,"(-48, -16]",-1946.6783333333335
-19.0,"(-48, -16]",-4168.601538461538
-19.0,"(-48, -16]",-1965.7215384615383
-19.0,"(-48, -16]",-3799.3408695652174
-19.0,"(-48, -16]",-1260.6
-19.0,"(-48, -16]",923.2198643463244
-18.0,"(-48, -16]",-1189.4466666666665
-18.0,"(-48, -16]",3950.4471494867503
-18.0,"(-48, -16]",-864.4307975917368
-18.0,"(-48, -16]",-837.4730769230772
-18.0,"(-48, -16]",-4430.825396825398
-18.0,"(-48, -16]",3394.7569230769236
-18.0,"(-48, -16]",4440.968430292857
-18.0,"(-48, -16]",-1512.6008603178616
-18.0,"(-48, -16]",-2752.25127992381
-18.0,"(-48, -16]",-2906.219047619047
-18.0,"(-48, -16]",1271.3888888888887
-18.0,"(-48, -16]",-4835.380952380952
-18.0,"(-48, -16]",2478.888111888112
-18.0,"(-48, -16]",625.2876923076923
-18.0,"(-48, -16]",2373.26
-18.0,"(-48, -16]",767.3599999999999
-18.0,"(-48, -16]",1508.3264654635775
-18.0,"(-48, -16]",3965.391304347826
-18.0,"(-48, -16]",-5226.666666666666
-18.0,"(-48, -16]",-2952.1617391304353
-18.0,"(-48, -16]",400.40118577075106
-18.0,"(-48, -16]",-260.6214285714286
-18.0,"(-48, -16]",1029.6456828829332
-17.0,"(-48, -16]",-392.8752577008213
-17.0,"(-48, -16]",-790.3200000000003
-17.0,"(-48, -16]",-2292.2105263157896
-17.0,"(-48, -16]",-1641.083333333333
-17.0,"(-48, -16]",-503.57072929919195
-17.0,"(-48, -16]",2183.0362361662355
-17.0,"(-48, -16]",-4354.219999999998
-17.0,"(-48, -16]",-293.782608695652
-17.0,"(-48, -16]",4573.380952380953
-17.0,"(-48, -16]",-91.04819772677706
-17.0,"(-48, -16]",3901.08
-17.0,"(-48, -16]",-4937.576666666666
-17.0,"(-48, -16]",122.36363636363606
-17.0,"(-48, -16]",501.95807679333296
-16.0,"(-48, -16]",1866.2962639137884
-16.0,"(-48, -16]",1240.746352445024
-16.0,"(-48, -16]",-5094.557692307692
-16.0,"(-48, -16]",795.3384615384613
-16.0,"(-48, -16]",748.5555555555558
-16.0,"(-48, -16]",668.0183661322135
-16.0,"(-48, -16]",-584.7281538721736
-16.0,"(-48, -16]",-540.95261235813
-16.0,"(-48, -16]",-483.6083033154764
-16.0,"(-48, -16]",1129.7777777777776
-16.0,"(-48, -16]",-275.3478260869565
-16.0,"(-48, -16]",2111.815384615385
-16.0,"(-48, -16]",-2298.678571428572
-15.0,"(-16, 16]",2183.6666666666665
-15.0,"(-16, 16]",707.2254401631785
-15.0,"(-16, 16]",-3625.4107692307703
-15.0,"(-16, 16]",168.920676961332
-15.0,"(-16, 16]",1135.795384615385
-15.0,"(-16, 16]",-1673.3333333333335
-15.0,"(-16, 16]",3924.086888261157
-15.0,"(-16, 16]",3908.916666666666
-15.0,"(-16, 16]",801.7335327148007
-15.0,"(-16, 16]",-2782.3614395950613
-15.0,"(-16, 16]",-7374.3600000000015
-15.0,"(-16, 16]",-804.1309523809523
-15.0,"(-16, 16]",-444.5
-15.0,"(-16, 16]",-2086.0666666666666
-15.0,"(-16, 16]",3026.0
-15.0,"(-16, 16]",-3555.817391304349
-15.0,"(-16, 16]",5444.627450980392
-14.0,"(-16, 16]",-2246.4604055792306
-14.0,"(-16, 16]",12428.0
-14.0,"(-16, 16]",166.9027215038691
-14.0,"(-16, 16]",-3136.850980392157
-14.0,"(-16, 16]",-2761.12
-14.0,"(-16, 16]",-1545.1726190476202
-14.0,"(-16, 16]",294.4019147404161
-14.0,"(-16, 16]",-3261.4305231547837
-14.0,"(-16, 16]",1636.2788461538455
-14.0,"(-16, 16]",255.06860799291283
-14.0,"(-16, 16]",-2971.666666666667
-14.0,"(-16, 16]",-242.09345703200046
-14.0,"(-16, 16]",629.0011773368415
-14.0,"(-16, 16]",1545.625
-14.0,"(-16, 16]",-3770.200118259
-14.0,"(-16, 16]",5528.28
-14.0,"(-16, 16]",-932.525454545454
-14.0,"(-16, 16]",-543.2713043478261
-14.0,"(-16, 16]",7245.753787878789
-14.0,"(-16, 16]",-844.0495238095236
-13.0,"(-16, 16]",-2010.4411764705883
-13.0,"(-16, 16]",2471.785714285715
-13.0,"(-16, 16]",-2269.772575250836
-13.0,"(-16, 16]",579.0
-13.0,"(-16, 16]",-3174.75
-13.0,"(-16, 16]",-9150.25
-13.0,"(-16, 16]",2525.2861103775117
-13.0,"(-16, 16]",-1379.5500621864774
-13.0,"(-16, 16]",-3845.4577777777777
-13.0,"(-16, 16]",-3409.038461538462
-13.0,"(-16, 16]",-1680.6313725490197
-13.0,"(-16, 16]",1135.1904761904761
-13.0,"(-16, 16]",706.3466666666671
-13.0,"(-16, 16]",361.55465587044546
-13.0,"(-16, 16]",1495.833333333333
-13.0,"(-16, 16]",-89.44118942453086
-13.0,"(-16, 16]",4858.657051282052
-13.0,"(-16, 16]",-2568.640000000001
-12.0,"(-16, 16]",-8931.503502114507
-12.0,"(-16, 16]",3939.6730769230767
-12.0,"(-16, 16]",1932.75
-12.0,"(-16, 16]",3430.6923076923085
-12.0,"(-16, 16]",2636.115384615385
-12.0,"(-16, 16]",-2334.4
-12.0,"(-16, 16]",38.764302059496
-12.0,"(-16, 16]",302.2956521739129
-12.0,"(-16, 16]",4065.814685314685
-12.0,"(-16, 16]",451.5769230769229
-12.0,"(-16, 16]",-3479.9285714285716
-12.0,"(-16, 16]",1077.740713264463
-12.0,"(-16, 16]",2216.9911804181984
-12.0,"(-16, 16]",-5307.041666666667
-12.0,"(-16, 16]",-410.83490995841294
-12.0,"(-16, 16]",2209.600000000001
-12.0,"(-16, 16]",2782.776923076923
-11.0,"(-16, 16]",857.3272727272732
-11.0,"(-16, 16]",3129.92487786504
-11.0,"(-16, 16]",-2651.8888888888887
-11.0,"(-16, 16]",-2595.5666666666666
-11.0,"(-16, 16]",-823.9200000000002
-11.0,"(-16, 16]",2134.8041958041954
-11.0,"(-16, 16]",-777.0
-11.0,"(-16, 16]",-715.1666666666665
-11.0,"(-16, 16]",-5716.055555555556
-11.0,"(-16, 16]",-133.57230769230773
-11.0,"(-16, 16]",-2188.08
-11.0,"(-16, 16]",68.27625478003438
-11.0,"(-16, 16]",4691.909090909091
-11.0,"(-16, 16]",-6231.330434782609
-11.0,"(-16, 16]",182.0317626957604
-11.0,"(-16, 16]",194.0663617415689
-11.0,"(-16, 16]",670.2392247519999
-11.0,"(-16, 16]",-1989.2857142857144
-11.0,"(-16, 16]",-392.92884410864923
-11.0,"(-16, 16]",-3843.389475321477
-10.0,"(-16, 16]",1524.9830769230755
-10.0,"(-16, 16]",-1178.123076923077
-10.0,"(-16, 16]",-1144.8999999999996
-10.0,"(-16, 16]",2353.4500732420865
-10.0,"(-16, 16]",4562.771315294829
-10.0,"(-16, 16]",-2786.6944444444453
-10.0,"(-16, 16]",-187.5260375980001
-10.0,"(-16, 16]",4469.68205128205
-10.0,"(-16, 16]",-2820.625
-10.0,"(-16, 16]",996.3200964810612
-10.0,"(-16, 16]",4899.809523809524
-10.0,"(-16, 16]",-164.01506347666648
-10.0,"(-16, 16]",4619.019230769231
-10.0,"(-16, 16]",2147.190476190476
-9.0,"(-16, 16]",2049.367692307692
-9.0,"(-16, 16]",-1651.603748348566
-9.0,"(-16, 16]",3005.666666666667
-9.0,"(-16, 16]",-4195.36
-9.0,"(-16, 16]",93.57692307692379
-9.0,"(-16, 16]",1231.1153846153848
-9.0,"(-16, 16]",428.3333333333329
