steps_diff,ws_diff,ws_diff_bin
3924.2052631578963,-75.0,"(-80, -48]"
-1952.961538461538,-73.0,"(-80, -48]"
-3950.6547619047615,-71.0,"(-80, -48]"
-2810.633333333333,-71.0,"(-80, -48]"
-2008.2514285714287,-68.0,"(-80, -48]"
-644.984210526316,-68.0,"(-80, -48]"
1505.685954850329,-68.0,"(-80, -48]"
1804.2857142857144,-67.0,"(-80, -48]"
505.463768115942,-66.0,"(-80, -48]"
-809.3920273902887,-64.0,"(-80, -48]"
-2447.751010006834,-64.0,"(-80, -48]"
-1860.2583333333328,-63.0,"(-80, -48]"
-595.25,-63.0,"(-80, -48]"
3076.5599999999995,-61.0,"(-80, -48]"
-2012.5,-61.0,"(-80, -48]"
1624.2862603063427,-58.0,"(-80, -48]"
-2304.2485104999123,-57.0,"(-80, -48]"
2000.6,-57.0,"(-80, -48]"
-5203.025,-57.0,"(-80, -48]"
-4458.465838509317,-56.0,"(-80, -48]"
184.391304347826,-55.0,"(-80, -48]"
-5864.229460015908,-54.0,"(-80, -48]"
1506.7980769230774,-54.0,"(-80, -48]"
-2657.432436968391,-53.0,"(-80, -48]"
-4209.179487179486,-52.0,"(-80, -48]"
2965.758333333333,-52.0,"(-80, -48]"
-1152.0929487179485,-51.0,"(-80, -48]"
164.09935897435938,-51.0,"(-80, -48]"
-3169.888888888889,-51.0,"(-80, -48]"
58.24223602484382,-50.0,"(-80, -48]"
-2158.833333333334,-50.0,"(-80, -48]"
-1689.995555555555,-50.0,"(-80, -48]"
-50.451923076923784,-50.0,"(-80, -48]"
354.54515050167174,-50.0,"(-80, -48]"
-2588.190476190476,-49.0,"(-80, -48]"
-4797.9196427575325,-49.0,"(-80, -48]"
-18.391304347826008,-49.0,"(-80, -48]"
-47.060386473429396,-49.0,"(-80, -48]"
-6856.28,-49.0,"(-80, -48]"
-11211.615384615383,-48.0,"(-80, -48]"
-1462.897233201581,-48.0,"(-80, -48]"
-5833.179842987121,-48.0,"(-80, -48]"
528.0333333333328,-48.0,"(-80, -48]"
-862.1111111111113,-48.0,"(-80, -48]"
-1875.3266666666668,-48.0,"(-80, -48]"
-1288.59,-48.0,"(-80, -48]"
-2665.428571428572,-47.0,"(-48, -16]"
813.2348879981923,-47.0,"(-48, -16]"
95.81502302121409,-46.0,"(-48, -16]"
-4840.357142857143,-46.0,"(-48, -16]"
1778.1428571428567,-44.0,"(-48, -16]"
1486.208333333333,-44.0,"(-48, -16]"
1118.7222222222224,-44.0,"(-48, -16]"
-1705.1374999999996,-44.0,"(-48, -16]"
-3770.482517482518,-44.0,"(-48, -16]"
-176.5034965034965,-44.0,"(-48, -16]"
-1552.9333333333334,-44.0,"(-48, -16]"
-1099.4035087719303,-43.0,"(-48, -16]"
984.3273809523816,-43.0,"(-48, -16]"
-3147.0489510489515,-43.0,"(-48, -16]"
4266.466403162056,-43.0,"(-48, -16]"
-3830.308537945713,-43.0,"(-48, -16]"
-4351.359999999999,-42.0,"(-48, -16]"
-2682.666666666667,-42.0,"(-48, -16]"
-4081.590909090909,-42.0,"(-48, -16]"
-47.480000000000466,-42.0,"(-48, -16]"
3898.313725490196,-42.0,"(-48, -16]"
4892.076923076924,-42.0,"(-48, -16]"
992.413333333333,-42.0,"(-48, -16]"
-450.4727272727273,-42.0,"(-48, -16]"
-532.3861538461538,-42.0,"(-48, -16]"
-112.60000000000036,-42.0,"(-48, -16]"
-2214.461538461538,-42.0,"(-48, -16]"
5395.772727272727,-42.0,"(-48, -16]"
-434.72727272727246,-41.0,"(-48, -16]"
1117.1071765507434,-41.0,"(-48, -16]"
-3711.993657565601,-41.0,"(-48, -16]"
2013.9023391735,-41.0,"(-48, -16]"
-1421.0261427734345,-41.0,"(-48, -16]"
-2939.315293182175,-41.0,"(-48, -16]"
-246.55681818181802,-41.0,"(-48, -16]"
-958.7666666666668,-41.0,"(-48, -16]"
-159.95192307692287,-41.0,"(-48, -16]"
3388.9192397196807,-41.0,"(-48, -16]"
-3425.2628205128212,-41.0,"(-48, -16]"
39.74561403508778,-41.0,"(-48, -16]"
-686.9047619047619,-40.0,"(-48, -16]"
-593.5826086956522,-40.0,"(-48, -16]"
855.375,-40.0,"(-48, -16]"
2370.6133333333332,-39.0,"(-48, -16]"
1454.4261352055667,-39.0,"(-48, -16]"
4698.869230769231,-39.0,"(-48, -16]"
-370.73913043478206,-38.0,"(-48, -16]"
-4691.6,-38.0,"(-48, -16]"
-8167.015151515153,-38.0,"(-48, -16]"
792.704710144928,-38.0,"(-48, -16]"
-3190.7762418816474,-37.0,"(-48, -16]"
-265.27472527472537,-37.0,"(-48, -16]"
1154.0512820512822,-37.0,"(-48, -16]"
-6776.0666666666675,-37.0,"(-48, -16]"
-3230.727495425516,-37.0,"(-48, -16]"
177.84666666666638,-37.0,"(-48, -16]"
-997.6257232673497,-37.0,"(-48, -16]"
1455.913461538462,-36.0,"(-48, -16]"
469.5454545454545,-36.0,"(-48, -16]"
-2472.153343413699,-36.0,"(-48, -16]"
1294.0,-36.0,"(-48, -16]"
-4391.412307692307,-36.0,"(-48, -16]"
-3791.81,-36.0,"(-48, -16]"
-2188.0550000000007,-36.0,"(-48, -16]"
-368.04444444444465,-36.0,"(-48, -16]"
-448.9377777777777,-35.0,"(-48, -16]"
816.8630952380954,-35.0,"(-48, -16]"
-363.18310815170304,-35.0,"(-48, -16]"
-1737.1511656337286,-35.0,"(-48, -16]"
3169.0,-35.0,"(-48, -16]"
281.37538461538503,-35.0,"(-48, -16]"
3073.4,-35.0,"(-48, -16]"
-1030.8461538461543,-35.0,"(-48, -16]"
705.7727272727275,-35.0,"(-48, -16]"
-1557.415059407229,-35.0,"(-48, -16]"
-1318.7402502650748,-34.0,"(-48, -16]"
3683.236842105263,-34.0,"(-48, -16]"
219.94466403162048,-34.0,"(-48, -16]"
-15.17216117216094,-34.0,"(-48, -16]"
-132.86478069275378,-33.0,"(-48, -16]"
-3.3226734801003204,-33.0,"(-48, -16]"
830.75,-33.0,"(-48, -16]"
-1239.458082846212,-33.0,"(-48, -16]"
-370.23352676900026,-33.0,"(-48, -16]"
-4997.298072838954,-33.0,"(-48, -16]"
-505.1052631578948,-33.0,"(-48, -16]"
-989.0714285714283,-33.0,"(-48, -16]"
-3579.482180045277,-33.0,"(-48, -16]"
-487.0611764705881,-33.0,"(-48, -16]"
-3016.666666666667,-32.0,"(-48, -16]"
-5290.392307692309,-32.0,"(-48, -16]"
1204.5,-32.0,"(-48, -16]"
1165.166666666667,-32.0,"(-48, -16]"
3222.876030278838,-32.0,"(-48, -16]"
3762.5658307801427,-32.0,"(-48, -16]"
-2021.583333333333,-32.0,"(-48, -16]"
2939.4551827664286,-32.0,"(-48, -16]"
636.0116666666663,-32.0,"(-48, -16]"
363.9750652295834,-32.0,"(-48, -16]"
153.52991452991458,-31.0,"(-48, -16]"
-5825.447380873768,-31.0,"(-48, -16]"
3398.333333333333,-31.0,"(-48, -16]"
-2918.2761904761896,-31.0,"(-48, -16]"
987.9766527243482,-31.0,"(-48, -16]"
-5837.0515359184765,-31.0,"(-48, -16]"
489.8809523809523,-31.0,"(-48, -16]"
2482.5738866071515,-31.0,"(-48, -16]"
-944.4551061843918,-31.0,"(-48, -16]"
-1104.5449557448662,-31.0,"(-48, -16]"
-10491.923076923076,-31.0,"(-48, -16]"
-1040.833333333333,-31.0,"(-48, -16]"
1411.8891169226665,-30.0,"(-48, -16]"
212.7066666666669,-30.0,"(-48, -16]"
-5768.484615384616,-30.0,"(-48, -16]"
1665.2800000000002,-30.0,"(-48, -16]"
-1342.5705128205118,-30.0,"(-48, -16]"
1866.9581136068,-30.0,"(-48, -16]"
-223.22923076923053,-30.0,"(-48, -16]"
3403.5538461538454,-29.0,"(-48, -16]"
-17893.409987689738,-29.0,"(-48, -16]"
-7566.644444444444,-29.0,"(-48, -16]"
781.9230769230771,-29.0,"(-48, -16]"
-2956.4711538461547,-29.0,"(-48, -16]"
-3021.970912560791,-29.0,"(-48, -16]"
-528.6590476190477,-29.0,"(-48, -16]"
775.1153846153846,-29.0,"(-48, -16]"
-855.3051725738893,-29.0,"(-48, -16]"
-4291.769696969697,-29.0,"(-48, -16]"
1136.9707692307693,-29.0,"(-48, -16]"
1730.4112556323525,-29.0,"(-48, -16]"
3376.66650509781,-28.0,"(-48, -16]"
4971.921052631577,-28.0,"(-48, -16]"
-1648.7842105263155,-28.0,"(-48, -16]"
-737.6555183946492,-28.0,"(-48, -16]"
-720.9523809523813,-28.0,"(-48, -16]"
2006.7999999999995,-28.0,"(-48, -16]"
-772.8344790137497,-28.0,"(-48, -16]"
-456.3692057298677,-28.0,"(-48, -16]"
-5540.107692307692,-28.0,"(-48, -16]"
192.42060897490435,-28.0,"(-48, -16]"
1615.2641789369227,-28.0,"(-48, -16]"
1437.4412576728573,-27.0,"(-48, -16]"
-1573.074411334261,-27.0,"(-48, -16]"
2532.536807977069,-27.0,"(-48, -16]"
649.4397989909658,-27.0,"(-48, -16]"
1921.16327286,-27.0,"(-48, -16]"
-4618.240723333649,-27.0,"(-48, -16]"
685.2791467303441,-27.0,"(-48, -16]"
-5286.7654918083335,-27.0,"(-48, -16]"
1252.6666666666667,-27.0,"(-48, -16]"
1070.166666666667,-27.0,"(-48, -16]"
-865.4863636363643,-27.0,"(-48, -16]"
260.61054629471533,-27.0,"(-48, -16]"
5173.066666666667,-27.0,"(-48, -16]"
-4216.07,-27.0,"(-48, -16]"
3995.858181818182,-27.0,"(-48, -16]"
4564.538461538462,-27.0,"(-48, -16]"
-2371.3125,-27.0,"(-48, -16]"
4318.693846153846,-27.0,"(-48, -16]"
1300.3249999999996,-26.0,"(-48, -16]"
-143.81111111111113,-26.0,"(-48, -16]"
340.76380952380936,-26.0,"(-48, -16]"
-850.5111410732138,-26.0,"(-48, -16]"
-1590.1455621850366,-26.0,"(-48, -16]"
-2419.9473684210525,-26.0,"(-48, -16]"
-437.0938461538452,-26.0,"(-48, -16]"
-829.826701124801,-26.0,"(-48, -16]"
1338.3461538461545,-26.0,"(-48, -16]"
525.4105263157893,-26.0,"(-48, -16]"
-1907.371666666667,-26.0,"(-48, -16]"
652.5237778875963,-26.0,"(-48, -16]"
-3361.9772727272716,-26.0,"(-48, -16]"
631.0863030678842,-26.0,"(-48, -16]"
92.9416666666666,-25.0,"(-48, -16]"
-160.98964803312631,-25.0,"(-48, -16]"
2243.163043478261,-25.0,"(-48, -16]"
3512.5561497326207,-25.0,"(-48, -16]"
-1640.8367238822666,-25.0,"(-48, -16]"
929.3786231884056,-25.0,"(-48, -16]"
-6038.4850000000015,-25.0,"(-48, -16]"
-341.2857142857147,-25.0,"(-48, -16]"
-899.5012605185002,-25.0,"(-48, -16]"
1221.5979020979014,-25.0,"(-48, -16]"
3876.083333333334,-25.0,"(-48, -16]"
508.93333333333334,-25.0,"(-48, -16]"
236.13888888888889,-25.0,"(-48, -16]"
-273.3333333333335,-25.0,"(-48, -16]"
280.6283333333331,-25.0,"(-48, -16]"
-1489.5438596491224,-25.0,"(-48, -16]"
-722.041666666667,-25.0,"(-48, -16]"
-6557.992307692307,-24.0,"(-48, -16]"
462.41608391608406,-24.0,"(-48, -16]"
-1242.4133333333334,-24.0,"(-48, -16]"
870.7600000000003,-24.0,"(-48, -16]"
2452.823717948718,-24.0,"(-48, -16]"
7679.140774158322,-24.0,"(-48, -16]"
-1471.2816666666665,-24.0,"(-48, -16]"
-3474.491228070175,-24.0,"(-48, -16]"
49.6521739130435,-24.0,"(-48, -16]"
-5619.16,-24.0,"(-48, -16]"
-2186.7762179888887,-24.0,"(-48, -16]"
198.0,-24.0,"(-48, -16]"
3000.1703979494805,-23.0,"(-48, -16]"
-1230.0769230769229,-23.0,"(-48, -16]"
-372.2736683681501,-23.0,"(-48, -16]"
1134.4489603567065,-23.0,"(-48, -16]"
2109.807374209238,-23.0,"(-48, -16]"
9256.92549019608,-23.0,"(-48, -16]"
6951.875,-23.0,"(-48, -16]"
8029.942857142856,-23.0,"(-48, -16]"
752.818910174753,-23.0,"(-48, -16]"
4624.329968046987,-23.0,"(-48, -16]"
-208.57608695652198,-23.0,"(-48, -16]"
-6355.5,-23.0,"(-48, -16]"
-1065.5978260869563,-23.0,"(-48, -16]"
3608.627692307692,-23.0,"(-48, -16]"
446.49231599439514,-23.0,"(-48, -16]"
-1541.0340909090899,-23.0,"(-48, -16]"
-1.8294925409236384,-23.0,"(-48, -16]"
-603.2256653094428,-23.0,"(-48, -16]"
1311.8108974358975,-23.0,"(-48, -16]"
2460.8939393939395,-23.0,"(-48, -16]"
-945.9861538461546,-22.0,"(-48, -16]"
-319.8125,-22.0,"(-48, -16]"
754.6307692307687,-22.0,"(-48, -16]"
-864.8476190476193,-22.0,"(-48, -16]"
-2030.666666666667,-22.0,"(-48, -16]"
1497.9102564102575,-22.0,"(-48, -16]"
705.291666666667,-22.0,"(-48, -16]"
-1527.2932881690006,-22.0,"(-48, -16]"
4134.222222222223,-22.0,"(-48, -16]"
-931.156862745098,-22.0,"(-48, -16]"
-1643.875,-22.0,"(-48, -16]"
243.5395403165212,-22.0,"(-48, -16]"
-1038.125,-22.0,"(-48, -16]"
553.0666666666666,-22.0,"(-48, -16]"
-1785.0,-22.0,"(-48, -16]"
-555.018923757375,-22.0,"(-48, -16]"
2188.413333333333,-22.0,"(-48, -16]"
-2498.0,-22.0,"(-48, -16]"
-791.9432956943821,-22.0,"(-48, -16]"
-1004.9313996568179,-22.0,"(-48, -16]"
-1012.125,-22.0,"(-48, -16]"
704.9057971014499,-22.0,"(-48, -16]"
-663.0833333333335,-22.0,"(-48, -16]"
809.875,-22.0,"(-48, -16]"
3279.3194246298804,-22.0,"(-48, -16]"
204.4497971595747,-22.0,"(-48, -16]"
1464.0,-22.0,"(-48, -16]"
1538.5904761904758,-22.0,"(-48, -16]"
632.1654870702966,-22.0,"(-48, -16]"
-2559.7535125705,-22.0,"(-48, -16]"
-305.82142857142844,-22.0,"(-48, -16]"
-282.9151428293889,-22.0,"(-48, -16]"
-1843.4033333333327,-21.0,"(-48, -16]"
-351.0251105896309,-21.0,"(-48, -16]"
-1862.904761904762,-21.0,"(-48, -16]"
4780.904035250087,-21.0,"(-48, -16]"
140.59782608695696,-21.0,"(-48, -16]"
-1990.2586132800025,-21.0,"(-48, -16]"
-842.1428571428572,-21.0,"(-48, -16]"
-3523.397097490073,-21.0,"(-48, -16]"
-2502.0,-21.0,"(-48, -16]"
-2297.795238095239,-21.0,"(-48, -16]"
-784.565217391304,-21.0,"(-48, -16]"
897.8000000000003,-21.0,"(-48, -16]"
2518.4457142857136,-21.0,"(-48, -16]"
-1365.097768931922,-21.0,"(-48, -16]"
320.5,-21.0,"(-48, -16]"
-2494.731199513391,-21.0,"(-48, -16]"
4575.211538461539,-21.0,"(-48, -16]"
-705.3782051282051,-21.0,"(-48, -16]"
-5603.763279907999,-21.0,"(-48, -16]"
2897.2486787717658,-20.0,"(-48, -16]"
-417.1363636363635,-20.0,"(-48, -16]"
1164.393939393939,-20.0,"(-48, -16]"
-793.3999999999997,-20.0,"(-48, -16]"
3737.111111111111,-20.0,"(-48, -16]"
-1428.8152539080677,-20.0,"(-48, -16]"
3341.4423076923085,-20.0,"(-48, -16]"
573.9598222799127,-20.0,"(-48, -16]"
716.3809523809523,-20.0,"(-48, -16]"
60.58333333333349,-20.0,"(-48, -16]"
-515.0833333333335,-20.0,"(-48, -16]"
-948.8890103889163,-20.0,"(-48, -16]"
-1680.4142752919358,-20.0,"(-48, -16]"
-557.231060606061,-20.0,"(-48, -16]"
-5913.318181818182,-20.0,"(-48, -16]"
-1019.5238095238096,-20.0,"(-48, -16]"
-522.2063492063489,-20.0,"(-48, -16]"
2271.333333333333,-20.0,"(-48, -16]"
-4398.407110765301,-20.0,"(-48, -16]"
171.35150812746087,-20.0,"(-48, -16]"
-1856.5664886552634,-20.0,"(-48, -16]"
8723.01923076923,-20.0,"(-48, -16]"
51.97756410256353,-20.0,"(-48, -16]"
-655.6815384615384,-20.0,"(-48, -16]"
3911.267857142857,-20.0,"(-48, -16]"
617.25,-20.0,"(-48, -16]"
-7035.390909090911,-20.0,"(-48, -16]"
1346.336651609975,-20.0,"(-48, -16]"
-241.29848734666663,-20.0,"(-48, -16]"
588.4316770186333,-20.0,"(-48, -16]"
1312.7058823529414,-20.0,"(-48, -16]"
-4110.5,-20.0,"(-48, -16]"
-748.5783074514142,-20.0,"(-48, -16]"
1423.8571428571427,-20.0,"(-48, -16]"
-235.83211466349982,-20.0,"(-48, -16]"
231.25294846705128,-20.0,"(-48, -16]"
-1933.5771428571427,-20.0,"(-48, -16]"
-331.9545454545455,-20.0,"(-48, -16]"
-1027.7083333333335,-20.0,"(-48, -16]"
-1695.1009101316808,-20.0,"(-48, -16]"
-2767.0144927536244,-20.0,"(-48, -16]"
-1243.0873488385078,-19.0,"(-48, -16]"
1912.833333333333,-19.0,"(-48, -16]"
1703.0079714961405,-19.0,"(-48, -16]"
-215.94615384615463,-19.0,"(-48, -16]"
-4354.666666666667,-19.0,"(-48, -16]"
3540.9178669032,-19.0,"(-48, -16]"
-955.3740070347501,-19.0,"(-48, -16]"
-1303.2142857142853,-19.0,"(-48, -16]"
2362.0804195804194,-19.0,"(-48, -16]"
-7570.200000000002,-19.0,"(-48, -16]"
234.96527777777786,-19.0,"(-48, -16]"
-5036.108333333334,-19.0,"(-48, -16]"
-2555.1339136776182,-19.0,"(-48, -16]"
-1965.7215384615383,-19.0,"(-48, -16]"
-3588.200557669878,-19.0,"(-48, -16]"
-338.88072427320867,-19.0,"(-48, -16]"
106.47500000000036,-19.0,"(-48, -16]"
923.2198643463244,-19.0,"(-48, -16]"
1551.1446153846155,-19.0,"(-48, -16]"
1401.409090909091,-19.0,"(-48, -16]"
651.1446886446884,-19.0,"(-48, -16]"
-1369.7403821344715,-19.0,"(-48, -16]"
2056.444444444445,-19.0,"(-48, -16]"
-3144.78,-19.0,"(-48, -16]"
-1315.4375,-19.0,"(-48, -16]"
3855.650000000001,-19.0,"(-48, -16]"
-3781.356679214174,-19.0,"(-48, -16]"
-7210.5993589743575,-18.0,"(-48, -16]"
1508.3264654635775,-18.0,"(-48, -16]"
473.54524675109496,-18.0,"(-48, -16]"
975.228770607579,-18.0,"(-48, -16]"
-1174.535,-18.0,"(-48, -16]"
-8004.027777777777,-18.0,"(-48, -16]"
3394.7569230769236,-18.0,"(-48, -16]"
3965.391304347826,-18.0,"(-48, -16]"
31.77083333333394,-18.0,"(-48, -16]"
-1049.8999811783788,-18.0,"(-48, -16]"
-2952.1617391304353,-18.0,"(-48, -16]"
-5289.0317460317465,-18.0,"(-48, -16]"
-2906.219047619047,-18.0,"(-48, -16]"
-837.4730769230772,-18.0,"(-48, -16]"
758.5714285714295,-18.0,"(-48, -16]"
-1646.8615384615375,-18.0,"(-48, -16]"
337.4819751315779,-17.0,"(-48, -16]"
-1598.2353846153853,-17.0,"(-48, -16]"
-91.04819772677706,-17.0,"(-48, -16]"
265.52499999999964,-17.0,"(-48, -16]"
122.36363636363606,-17.0,"(-48, -16]"
-790.3200000000003,-17.0,"(-48, -16]"
-2704.7641538742937,-17.0,"(-48, -16]"
-229.83975230140004,-17.0,"(-48, -16]"
3901.08,-17.0,"(-48, -16]"
3441.590909090909,-17.0,"(-48, -16]"
-540.0,-17.0,"(-48, -16]"
9054.857142857143,-17.0,"(-48, -16]"
-384.0933014354068,-17.0,"(-48, -16]"
245.11538461538484,-17.0,"(-48, -16]"
-555.0087155002125,-17.0,"(-48, -16]"
1521.6628571428573,-17.0,"(-48, -16]"
-1395.7631959478185,-17.0,"(-48, -16]"
-3141.2916250116277,-17.0,"(-48, -16]"
668.6285714285714,-17.0,"(-48, -16]"
-4057.5446153846146,-17.0,"(-48, -16]"
2488.7333333333336,-16.0,"(-48, -16]"
1866.2962639137884,-16.0,"(-48, -16]"
579.7352941176467,-16.0,"(-48, -16]"
-8103.672157586163,-16.0,"(-48, -16]"
1874.6805555555552,-16.0,"(-48, -16]"
5413.454545454546,-16.0,"(-48, -16]"
-744.2777777777774,-16.0,"(-48, -16]"
-2787.842948717949,-16.0,"(-48, -16]"
271.39393939393904,-16.0,"(-48, -16]"
-2491.0526315789475,-16.0,"(-48, -16]"
-769.3486628826922,-16.0,"(-48, -16]"
5216.0,-16.0,"(-48, -16]"
-2328.654860721665,-16.0,"(-48, -16]"
-3097.0133333333333,-16.0,"(-48, -16]"
-2444.5224368055833,-16.0,"(-48, -16]"
-4013.175671827954,-16.0,"(-48, -16]"
371.52272727272697,-16.0,"(-48, -16]"
529.2539583842663,-16.0,"(-48, -16]"
-257.7179487179488,-16.0,"(-48, -16]"
9089.029304029304,-16.0,"(-48, -16]"
1014.1223776223778,-16.0,"(-48, -16]"
795.3384615384613,-16.0,"(-48, -16]"
-350.6730769230772,-16.0,"(-48, -16]"
1607.7321354333326,-16.0,"(-48, -16]"
-234.38655462184943,-16.0,"(-48, -16]"
1082.4696356275304,-16.0,"(-48, -16]"
710.396825396826,-16.0,"(-48, -16]"
830.0769230769229,-16.0,"(-48, -16]"
3049.5,-16.0,"(-48, -16]"
155.55555555555566,-16.0,"(-48, -16]"
3391.0213675213677,-16.0,"(-48, -16]"
-14.956043956043684,-16.0,"(-48, -16]"
-118.76178397605145,-16.0,"(-48, -16]"
2034.2012987012986,-16.0,"(-48, -16]"
1979.0,-16.0,"(-48, -16]"
2226.2,-16.0,"(-48, -16]"
-1617.0430651782008,-16.0,"(-48, -16]"
796.5999999999998,-16.0,"(-48, -16]"
